ta,rh,v,met,clo,thermal_sensation
26.4,44.0,0.02,1.3,0.78,0
26.6,44.7,0.02,1.2,0.56,0
25.6,52.1,0.0,1.4,0.61,0
25.5,52.5,0.01,1.1,0.7,0
25.6,52.1,0.01,1.4,0.63,0
25.5,53.1,0.07,1.3,0.63,0
25.8,52.8,0.07,1.1,0.64,1
25.5,53.3,0.22,1.3,0.71,1
24.5,54.5,0.01,1.1,0.53,0
24.8,55.1,0.03,1.1,0.45,2
24.7,53.1,0.06,1.4,0.56,-1
24.9,53.0,0.04,1.1,0.64,0
25.0,52.7,0.09,1.4,0.75,1
25.2,50.8,0.14,1.3,0.62,1
26.8,48.8,0.01,1.1,0.54,1
26.6,48.2,0.04,1.4,0.48,0
27.0,46.6,0.01,1.1,0.68,1
27.3,47.0,0.02,1.1,0.55,0
27.5,45.7,0.02,1.1,0.48,1
26.5,44.8,0.04,1.1,0.84,1
27.7,45.0,0.03,1.1,0.55,1
27.4,46.4,0.01,1.4,0.6,1
27.4,46.4,0.02,1.1,0.45,0
27.5,46.3,0.01,1.4,0.55,1
26.8,51.0,0.01,1.1,0.63,0
25.9,51.4,0.02,1.1,0.57,1
25.7,52.5,0.0,1.2,0.64,0
25.4,25.7,0.01,1.3,0.75,0
25.4,52.4,0.01,1.1,0.57,0
25.5,53.0,0.03,1.3,0.7,0
25.6,51.9,0.01,1.3,0.57,1
25.5,52.3,0.03,1.1,0.69,1
25.6,51.4,0.03,1.1,0.57,0
25.5,52.7,0.0,1.1,0.63,1
27.6,45.0,0.01,1.3,0.48,1
25.5,43.5,0.03,1.1,0.54,0
26.7,44.5,0.05,1.5,0.69,0
25.9,45.0,0.03,1.1,0.62,1
25.7,45.3,0.04,1.1,0.69,0
26.5,38.7,0.0,1.1,0.57,1
25.8,53.3,0.01,1.1,0.88,-1
25.3,45.1,0.02,1.1,0.52,0
24.9,45.5,0.04,1.4,0.52,0
24.5,46.7,0.02,1.1,0.54,0
24.4,46.9,0.03,1.1,0.55,0
24.2,47.9,0.05,1.1,0.54,0
23.9,50.0,0.01,1.7,0.55,0
24.1,49.1,0.02,1.4,0.49,0
24.3,48.1,0.03,1.1,0.49,0
24.3,48.1,0.06,1.3,0.7,0
24.2,47.9,0.01,1.3,0.5,0
24.1,48.3,0.02,1.3,0.49,0
24.2,48.5,0.02,1.1,0.52,0
25.2,46.3,0.08,1.1,0.42,0
25.3,46.5,0.07,1.1,0.55,0
25.7,45.4,0.03,1.1,0.55,1
25.7,44.6,0.09,1.1,0.55,0
25.7,43.9,0.01,1.1,0.55,1
25.7,43.6,0.01,1.1,0.46,1
25.8,42.9,0.04,1.1,0.48,0
25.4,42.7,0.08,1.1,0.59,0
25.3,42.2,0.08,1.1,0.49,0
25.3,41.8,0.09,1.3,0.49,0
25.3,42.3,0.0,1.1,0.55,0
25.4,42.4,0.01,1.1,0.49,0
25.5,44.6,0.01,1.4,0.62,0
25.5,44.5,0.08,1.4,0.69,0
25.6,44.3,0.02,1.4,0.62,0
25.2,43.9,0.02,1.4,0.58,0
26.1,45.4,0.03,1.3,0.84,0
25.6,46.3,0.03,1.1,0.84,1
26.5,45.0,0.11,1.1,0.78,0
26.4,44.5,0.09,1.1,0.69,0
26.5,44.8,0.05,1.1,0.56,0
26.3,44.5,0.12,1.1,0.62,1
24.6,46.5,0.04,1.3,0.7,0
25.5,44.5,0.02,1.1,0.56,1
25.3,44.8,0.06,1.1,0.68,0
25.3,44.0,0.03,1.1,0.63,0
25.3,44.4,0.02,1.1,0.76,0
25.3,44.7,0.05,1.2,0.74,0
25.3,44.6,0.03,1.2,0.52,0
25.8,46.1,0.06,1.3,0.69,1
25.2,43.8,0.12,1.1,0.58,0
25.1,44.1,0.12,1.1,0.69,0
25.0,44.3,0.07,1.1,0.63,0
24.5,44.5,0.02,1.1,0.68,0
25.0,42.5,0.18,1.1,0.77,0
24.9,43.3,0.04,1.2,0.73,0
25.0,43.4,0.05,1.1,0.84,0
26.1,44.0,0.02,1.1,0.62,0
26.1,44.2,0.04,1.1,0.77,0
26.0,44.9,0.03,1.3,0.69,0
25.8,42.5,0.1,1.1,0.52,0
25.5,43.2,0.12,1.1,0.58,0
25.9,42.6,0.02,1.4,0.88,0
25.5,43.3,0.03,1.5,0.84,0
25.1,44.0,0.12,1.1,0.52,1
18.3,56.4,0.03,1.1,1.78,-2
16.9,38.0,0.06,1.1,1.78,0
17.5,38.1,0.12,1.2,1.91,-1
31.6,37.9,1.0,1.0,0.46,1
32.1,70.2,1.0,2.0,0.46,2
36.2,51.3,1.0,2.0,0.46,-1
33.5,59.3,1.0,2.0,0.46,2
34.2,51.6,1.0,2.0,0.39,1
31.1,37.2,0.6,1.2,0.46,-2
33.0,68.9,1.0,1.7,0.54,1
29.6,80.5,0.1,1.2,0.78,-2
32.4,64.2,1.0,1.2,0.45,-2
35.2,51.4,0.1,2.0,0.46,1
24.4,34.2,0.1,1.0,0.38,-1
21.7,43.0,0.1,2.0,0.0,-1
26.6,44.2,0.1,2.0,0.78,-1
24.9,47.1,0.1,1.1,0.78,-1
22.8,38.7,0.1,1.2,0.49,-1
21.1,39.7,0.1,1.7,0.5,-2
30.7,56.3,0.5,1.1,0.46,0
30.7,56.3,0.1,1.0,0.57,0
31.6,60.1,0.5,1.0,0.46,2
32.7,53.2,0.4,1.1,0.46,0
31.3,67.7,0.4,1.0,0.46,3
31.6,37.9,1.0,1.2,0.65,0
30.8,76.1,1.0,1.0,0.62,2
35.6,52.4,0.5,1.0,0.62,1
34.2,52.1,0.5,1.2,0.62,1
31.1,37.2,0.6,1.7,0.46,-2
33.8,58.8,0.5,1.0,0.49,-2
24.5,45.5,0.1,1.0,0.46,-3
25.0,35.5,0.1,1.0,0.56,-2
23.9,35.4,0.1,1.0,0.46,-2
33.2,51.7,0.6,2.0,0.47,2
30.9,48.9,0.8,2.0,0.34,1
32.5,45.6,0.1,1.7,0.56,1
25.1,43.0,0.1,1.1,0.55,0
32.9,53.5,0.1,1.0,0.46,1
33.1,52.3,0.1,1.0,0.46,0
33.8,50.7,0.1,2.0,0.46,1
32.4,62.1,0.1,2.0,0.46,1
30.4,69.8,0.1,1.0,0.46,0
30.5,71.9,0.1,2.0,0.46,1
31.9,59.3,0.6,2.0,0.46,1
32.4,64.3,0.6,2.0,0.46,1
28.6,78.5,0.1,3.4,0.46,0
32.4,52.1,0.8,1.0,0.46,-1
33.1,45.6,0.8,2.0,0.46,0
31.5,34.3,0.8,1.0,0.46,1
32.3,41.6,0.8,2.0,0.71,1
28.7,36.3,0.6,1.0,0.67,1
27.0,29.7,0.1,1.0,0.67,-2
26.9,52.4,0.1,2.0,0.45,1
34.1,54.5,0.1,3.4,0.45,1
29.7,74.7,0.1,1.7,0.48,-1
31.3,42.5,0.1,2.0,0.64,1
25.9,44.3,0.1,1.7,0.64,0
34.4,57.9,0.1,1.0,0.7,1
29.0,77.4,0.1,1.2,0.7,0
24.7,36.6,0.1,1.0,1.11,-1
22.3,34.4,0.1,1.0,1.11,-2
23.0,34.1,0.1,1.0,1.11,-2
34.8,29.7,0.8,1.0,0.78,1
31.2,63.5,0.8,1.0,0.78,0
32.2,60.0,0.8,1.0,0.78,1
30.3,69.0,0.8,1.0,0.81,0
30.4,66.7,0.8,1.0,0.81,0
31.3,65.0,0.8,1.7,0.78,1
27.3,86.2,0.6,1.0,0.81,0
29.7,66.5,0.8,1.2,0.78,0
30.9,54.4,0.8,1.0,0.78,0
31.1,54.5,0.8,1.0,0.78,1
31.6,49.2,0.8,1.0,0.78,1
30.3,36.2,0.6,1.0,0.78,0
28.1,50.9,0.1,1.0,1.11,-1
28.2,41.9,0.1,1.0,1.11,-2
28.9,45.9,0.1,1.0,1.11,-2
29.7,40.2,0.1,1.0,1.11,-2
26.4,40.2,0.1,1.0,1.11,-2
30.7,56.3,0.4,1.0,0.35,0
32.7,53.2,0.4,1.1,0.35,0
31.6,52.9,0.1,1.0,0.65,0
30.3,46.3,0.6,1.0,0.49,0
28.2,50.0,0.1,1.0,0.65,-1
27.1,40.8,0.1,1.0,0.65,0
24.3,33.2,0.1,1.2,0.76,-3
28.4,37.7,0.6,1.2,0.45,1
25.3,37.4,0.1,1.0,0.47,-2
30.6,76.3,0.5,1.0,0.68,1
29.8,76.8,1.0,1.1,0.35,0
30.5,71.8,0.5,1.0,0.62,2
27.5,39.6,0.4,1.0,0.5,-1
25.2,37.2,0.1,1.0,0.35,-2
30.5,71.8,0.5,1.7,0.49,2
29.8,76.8,1.0,2.0,0.46,0
29.8,76.5,1.0,1.0,0.38,0
29.8,76.9,0.5,1.2,0.38,0
30.6,71.1,1.0,1.0,0.7,1
31.3,59.6,0.6,1.0,0.3,0
31.8,32.3,0.6,1.0,0.49,0
29.2,49.4,0.1,1.0,0.49,0
27.8,40.7,0.1,1.2,0.49,0
26.6,39.9,0.1,1.0,0.5,-1
22.4,40.8,0.1,1.0,0.5,0
26.8,47.9,0.1,1.1,0.5,-1
26.0,52.8,0.1,1.0,0.5,0
24.3,49.5,0.1,1.0,0.49,-1
26.0,50.1,0.1,1.0,0.5,0
31.0,69.7,0.1,2.0,0.46,0
33.2,47.9,0.6,1.0,0.46,-1
31.2,30.8,0.8,2.0,0.46,0
28.2,45.7,0.8,3.4,0.46,-1
27.1,46.5,0.1,2.0,0.46,-1
32.3,62.5,0.1,1.0,0.49,0
26.7,60.9,0.1,1.0,0.46,-2
29.6,73.6,0.4,1.7,0.49,0
29.2,73.3,0.1,1.7,0.34,-1
31.2,68.7,0.5,1.0,0.45,0
30.7,63.6,0.5,1.0,0.46,1
32.3,47.9,0.5,1.7,0.32,0
31.9,46.0,0.4,1.0,0.62,0
26.7,60.9,0.1,1.0,0.62,-2
28.8,74.5,0.1,1.0,0.49,0
29.8,73.6,0.1,1.1,0.46,0
30.7,63.5,0.5,1.0,0.46,1
27.6,84.2,1.0,1.0,0.46,1
31.7,50.2,0.1,2.0,0.51,-1
31.9,46.0,0.8,1.0,0.46,0
27.9,35.4,0.6,2.0,0.64,-2
24.7,38.5,0.1,1.1,0.68,-3
23.7,34.5,0.1,1.7,0.62,-1
33.8,61.6,1.0,1.0,0.78,2
23.0,49.9,0.1,1.2,0.75,-3
30.8,74.5,0.8,1.0,0.46,1
23.3,53.6,0.1,1.0,0.84,-3
32.6,59.9,1.0,1.0,0.48,0
33.7,55.0,0.6,1.2,0.48,-1
29.9,33.0,1.0,2.0,0.48,-1
33.1,32.7,0.8,1.0,0.48,-1
27.9,34.7,0.1,2.0,0.48,-2
23.2,34.7,0.1,2.0,0.48,-2
26.5,38.1,0.1,1.0,0.48,-2
32.5,61.4,0.1,1.2,0.65,2
28.6,50.9,0.8,1.0,0.46,1
26.7,37.4,0.1,1.0,0.71,-1
26.7,31.3,0.1,1.0,0.67,-1
23.6,34.2,0.1,1.0,0.69,-2
26.8,37.0,0.1,1.0,0.46,-2
29.1,45.5,0.1,3.4,0.69,-2
29.7,28.3,0.1,3.4,0.46,-1
30.8,76.2,0.8,1.2,0.39,1
32.3,51.5,0.8,1.1,0.39,2
32.7,65.4,1.0,1.0,0.62,2
32.8,45.1,0.8,2.0,0.46,2
33.8,48.4,0.8,1.0,0.62,0
25.1,46.0,0.1,1.0,0.38,-2
28.4,57.7,0.1,1.0,0.39,0
32.6,68.6,0.5,2.0,0.36,2
32.5,69.0,0.5,2.0,0.38,-2
31.1,71.2,1.0,1.1,0.36,1
32.5,70.3,1.0,1.1,0.39,-1
33.4,59.0,1.0,1.1,0.39,-1
33.2,62.5,1.0,2.0,0.36,1
27.7,37.0,0.1,2.0,0.39,-1
26.2,47.5,0.1,1.1,0.39,-1
25.4,33.2,0.1,2.0,0.46,-3
24.0,51.5,0.1,2.0,0.49,-1
24.2,39.7,0.1,1.0,0.6,-2
24.8,45.2,0.1,1.2,0.68,-1
27.7,61.9,0.1,1.7,0.41,-1
30.6,71.5,1.0,1.0,0.49,0
24.2,39.7,1.0,1.0,0.5,-3
23.4,37.5,0.1,1.0,0.39,0
24.7,41.1,0.1,1.1,0.46,-3
26.4,42.1,0.1,2.0,0.35,0
32.5,61.4,0.1,2.0,0.45,3
28.5,76.7,0.6,2.0,0.54,0
32.7,65.4,1.0,2.0,0.46,3
34.6,50.4,0.1,2.0,0.44,0
29.7,70.1,0.1,1.2,0.37,-1
33.2,48.1,0.8,1.0,0.65,0
25.5,52.1,0.1,1.1,0.72,-1
25.4,41.8,0.1,1.0,0.35,-2
21.7,55.6,0.1,2.0,0.48,-2
30.9,76.8,0.1,1.1,0.46,1
26.8,37.3,0.6,2.0,0.46,-1
21.4,29.0,0.02,1.1,1.63,0
21.7,28.8,0.03,1.1,1.67,0
21.8,29.3,0.03,1.1,1.76,0
21.8,28.4,0.02,1.1,1.63,0
21.0,26.0,0.02,1.4,1.48,0
21.6,26.0,0.02,1.1,1.76,1
21.6,26.0,0.02,1.1,1.49,0
21.9,25.3,0.04,1.2,1.89,0
22.0,32.8,0.03,1.3,1.35,0
21.4,33.3,0.01,1.3,1.39,1
23.0,30.0,0.09,1.1,1.69,1
23.1,29.7,0.04,1.6,1.7,0
22.1,21.3,0.04,1.1,1.68,1
23.1,20.4,0.04,1.1,1.13,1
23.1,20.0,0.02,1.1,1.27,1
21.5,25.9,0.02,1.1,1.85,0
21.8,25.4,0.03,1.1,1.63,0
21.6,26.4,0.01,1.1,1.59,0
16.8,32.0,0.02,1.1,1.57,1
18.3,30.8,0.02,1.1,1.51,-1
18.3,30.8,0.03,1.1,1.7,-2
19.2,29.6,0.01,1.1,1.49,0
19.2,29.0,0.01,1.1,1.93,0
19.5,28.5,0.02,1.1,1.41,0
19.6,28.5,0.01,1.1,1.64,0
20.9,26.8,0.02,1.1,1.5,0
21.8,25.8,0.02,1.1,1.54,0
22.0,30.1,0.03,1.1,1.1,3
21.8,27.8,0.02,1.1,1.85,0
20.2,32.2,0.02,1.1,1.45,3
18.8,31.2,0.03,1.1,1.64,0
19.5,35.1,0.02,1.1,1.48,0
16.9,39.0,0.04,1.1,1.78,-3
17.2,36.8,0.05,1.1,1.5,0
17.3,41.2,0.02,1.1,1.13,-1
17.2,38.1,0.03,1.1,2.01,-1
18.1,35.7,0.01,1.1,2.23,0
19.6,33.0,0.02,1.1,1.65,-1
19.6,33.0,0.02,1.1,1.72,2
19.8,33.1,0.02,1.4,1.54,1
20.0,32.4,0.03,1.1,1.49,1
19.9,32.3,0.04,1.1,1.92,0
20.6,35.6,0.08,1.1,1.79,1
21.6,32.0,0.02,1.1,1.45,1
21.5,25.9,0.01,1.1,1.17,0
21.8,32.6,0.02,1.1,1.65,1
23.0,30.6,0.06,1.1,1.41,0
19.3,31.9,0.04,1.1,1.72,0
19.5,31.3,0.05,1.1,1.76,0
19.2,33.1,0.06,1.1,1.76,-1
19.0,42.5,0.02,1.1,1.33,2
21.6,40.7,0.03,1.1,1.51,0
22.0,37.4,0.02,1.1,1.85,0
22.0,37.4,0.02,1.1,1.48,3
22.1,35.1,0.02,1.6,1.74,-1
22.3,35.5,0.01,1.1,1.08,-1
22.6,37.1,0.01,1.2,1.71,0
19.5,30.0,0.03,1.1,1.64,0
18.9,31.2,0.04,1.1,1.41,0
22.8,31.2,0.04,1.1,1.48,-1
19.5,35.1,0.02,1.1,1.49,0
22.2,31.8,0.01,1.1,1.16,0
29.2,26.0,0.04,1.4,1.51,0
16.7,21.9,0.05,1.2,1.47,-2
16.7,22.2,0.02,1.3,1.66,-1
16.5,23.1,0.02,1.1,1.87,-1
16.5,23.1,0.02,1.4,1.56,0
16.5,24.1,0.03,1.1,1.7,-2
16.6,22.5,0.06,1.2,1.57,0
16.0,23.5,0.03,1.2,1.62,-1
16.2,23.8,0.03,1.3,2.06,1
16.6,24.8,0.02,1.2,2.05,0
16.5,24.0,0.04,1.1,1.52,0
16.2,33.6,0.05,1.1,1.87,-1
16.1,24.7,0.04,1.1,1.48,-1
16.1,24.7,0.04,1.1,1.41,-1
16.1,24.3,0.07,1.1,1.98,0
15.8,24.3,0.07,1.1,1.48,-1
15.8,25.6,0.03,1.1,1.61,-1
15.9,25.1,0.02,1.4,2.01,-1
15.9,25.9,0.09,1.1,2.14,-1
16.1,24.3,0.03,1.3,1.39,0
16.2,24.0,0.06,1.2,1.84,-1
16.2,24.0,0.12,1.4,1.48,0
17.0,21.4,0.04,1.3,1.29,0
17.0,23.3,0.07,1.1,1.96,0
18.5,21.3,0.04,1.1,1.72,-1
19.3,19.5,0.08,1.1,1.97,-1
18.6,22.6,0.04,1.1,2.03,-1
17.2,24.7,0.04,1.3,1.75,0
16.7,21.9,0.04,1.1,0.9,-1
16.3,22.4,0.03,1.3,1.24,0
16.3,23.0,0.06,1.2,1.74,0
16.5,23.1,0.03,1.1,1.4,-3
24.1,24.2,0.03,1.1,1.46,0
23.6,25.8,0.02,1.1,1.62,-1
17.4,22.5,0.06,1.1,1.91,-1
15.5,24.7,0.05,1.3,1.22,-1
15.0,26.8,0.06,1.0,1.58,0
15.0,28.3,0.06,1.3,1.38,0
14.7,28.1,0.07,1.5,1.64,-1
19.6,21.7,0.15,1.1,1.79,-1
16.2,26.4,0.1,1.1,1.53,-1
15.4,27.7,0.06,1.1,1.58,-1
15.1,25.3,0.07,1.4,1.97,-1
15.0,26.1,0.07,1.1,1.88,0
14.9,25.9,0.09,1.4,1.16,0
23.6,28.3,0.01,1.1,1.44,0
14.8,27.4,0.05,1.6,2.03,0
15.4,25.8,0.1,1.9,1.82,-1
15.4,25.1,0.09,1.6,1.48,1
15.0,26.9,0.04,1.1,1.95,-1
14.9,26.5,0.06,1.1,1.84,0
14.9,27.8,0.06,1.9,1.61,0
19.5,20.1,0.06,1.6,1.81,0
16.8,22.7,0.04,1.7,1.37,-1
15.3,24.3,0.05,1.3,1.91,-1
14.6,23.0,0.1,1.1,1.95,-1
14.6,24.4,0.08,1.1,1.42,-1
14.9,22.0,0.05,1.4,1.53,-1
14.7,22.3,0.06,1.1,1.53,-1
14.6,22.4,0.09,1.6,1.46,-1
15.3,23.8,0.18,1.1,1.75,-1
16.6,25.4,0.04,1.1,1.85,-1
18.9,36.2,0.05,1.1,1.5,0
19.3,34.2,0.02,1.1,1.83,0
23.1,30.3,0.06,1.1,1.45,0
23.7,28.9,0.07,1.3,1.75,0
24.4,28.2,0.04,1.1,1.43,1
25.5,26.2,0.08,1.6,1.32,0
25.1,26.8,0.05,1.6,1.4,0
25.0,31.2,0.07,1.1,1.75,0
25.2,30.4,0.05,1.1,1.09,0
25.3,30.9,0.03,1.1,1.56,1
25.0,33.5,0.05,1.1,1.7,1
25.0,30.6,0.06,1.6,1.37,0
26.4,24.1,0.1,1.6,1.8,0
25.5,24.8,0.1,1.0,1.44,0
23.4,30.2,0.03,1.4,1.1,0
24.6,24.6,0.06,1.1,1.87,0
24.5,24.6,0.05,1.1,1.59,0
23.2,23.0,0.04,1.4,1.69,0
19.9,27.1,0.09,1.4,1.81,0
21.7,25.5,0.12,1.1,1.79,0
19.7,26.9,0.05,1.4,1.78,0
18.3,30.2,0.07,1.4,1.44,0
18.8,38.4,0.06,1.4,1.51,1
20.6,34.3,0.07,1.2,1.71,0
16.8,41.6,0.01,1.1,2.1,0
18.3,33.8,0.03,1.1,1.74,0
18.1,33.9,0.05,1.1,1.71,-1
17.5,37.2,0.02,1.1,2.1,0
17.2,36.7,0.02,1.3,1.78,-3
21.9,31.8,0.08,1.3,1.82,0
19.7,29.1,0.05,1.2,1.76,0
19.6,29.8,0.03,1.2,2.05,0
20.3,27.8,0.09,1.4,1.81,-1
17.3,32.4,0.13,1.3,1.81,0
19.0,34.9,0.06,1.2,1.85,-1
18.3,36.2,0.07,1.3,1.91,-1
19.0,36.3,0.05,1.4,1.5,0
19.7,34.4,0.04,1.0,1.77,0
22.3,30.3,0.06,1.1,1.75,0
22.8,30.0,0.04,1.5,1.78,-1
23.0,29.4,0.05,1.2,1.89,-1
22.9,31.0,0.05,1.1,1.55,0
22.7,32.1,0.09,1.2,1.84,0
22.6,31.1,0.05,1.3,1.5,0
22.5,31.2,0.05,1.1,1.79,1
24.4,28.3,0.06,1.1,1.78,0
18.8,38.8,0.01,1.3,1.79,-2
23.1,28.4,0.04,1.1,1.16,0
22.0,28.8,0.05,1.1,1.75,0
21.7,25.7,0.13,1.3,1.61,0
21.2,28.4,0.12,1.6,1.4,0
21.6,31.4,0.12,1.4,1.43,0
23.1,26.2,0.11,1.1,1.64,0
22.3,29.1,0.06,1.3,1.51,0
22.4,29.1,0.05,1.6,1.52,0
19.0,31.5,0.09,1.1,1.8,1
20.9,24.4,0.04,1.1,1.39,1
20.3,25.2,0.04,1.1,1.55,1
20.0,26.1,0.07,1.1,1.14,0
20.2,25.3,0.08,1.1,1.36,1
21.7,25.7,0.06,1.1,1.44,0
22.6,29.4,0.05,1.1,1.2,0
17.6,41.3,0.02,1.1,1.58,-1
18.9,38.1,0.02,1.3,2.06,0
18.8,36.8,0.01,1.1,1.68,0
19.3,25.4,0.01,1.3,1.72,0
20.0,25.5,0.01,1.6,2.04,0
19.1,26.3,0.02,1.5,1.69,0
20.4,25.3,0.01,1.6,1.39,0
20.6,27.1,0.01,1.1,1.63,-1
20.5,25.6,0.02,1.3,1.71,0
20.4,27.8,0.02,1.4,2.08,0
20.7,27.9,0.03,1.1,2.13,0
20.8,27.7,0.0,1.1,1.73,0
20.8,26.4,0.01,1.2,2.06,0
20.8,26.2,0.01,1.4,1.4,1
20.9,28.1,0.01,1.1,1.68,0
19.4,38.2,0.03,1.1,1.44,0
20.1,35.5,0.03,1.3,1.81,0
20.7,34.6,0.02,1.4,1.94,0
20.7,34.2,0.01,1.3,1.46,0
20.5,34.0,0.02,1.4,1.67,0
20.6,34.6,0.07,1.4,1.68,0
21.2,33.5,0.04,1.1,1.67,0
21.5,32.5,0.03,1.4,1.32,0
21.3,33.5,0.02,1.4,1.59,0
20.8,30.3,0.01,1.3,1.68,0
21.2,28.9,0.01,1.4,1.53,0
21.3,29.3,0.02,1.3,1.39,0
21.7,27.5,0.01,1.1,1.53,0
22.4,27.3,0.02,1.6,1.58,0
17.8,36.9,0.04,1.1,1.33,0
19.1,25.5,0.01,1.4,1.93,0
20.1,31.1,0.02,1.6,1.75,0
19.3,32.1,0.01,1.7,1.99,-1
19.1,31.3,0.02,1.3,1.64,0
18.7,37.5,0.01,1.4,1.71,0
18.7,37.7,0.03,1.1,1.6,0
19.1,42.4,0.02,1.1,1.5,0
20.1,39.8,0.03,1.1,1.99,0
20.6,37.4,0.01,1.5,1.75,0
21.1,37.2,0.03,1.1,1.63,-2
21.5,37.9,0.01,1.5,1.5,0
21.5,35.4,0.01,1.4,2.24,0
18.5,36.4,0.01,1.1,1.29,0
18.2,35.8,0.01,1.6,1.73,-1
18.4,35.9,0.02,1.1,1.3,0
18.2,34.7,0.02,1.4,1.78,0
18.8,38.1,0.0,1.4,1.68,0
18.8,36.8,0.01,1.1,1.65,-1
19.0,37.8,0.01,1.1,2.04,0
19.2,39.9,0.02,1.5,1.26,0
19.2,39.4,0.02,1.5,1.69,-1
17.6,39.3,0.03,1.4,1.68,-1
21.2,25.3,0.06,1.4,1.41,0
19.7,31.0,0.01,1.4,1.72,0
19.8,31.6,0.02,1.4,1.69,0
20.3,29.2,0.04,1.1,1.68,0
20.3,32.9,0.02,1.3,1.69,0
19.9,28.4,0.01,1.4,1.7,0
18.6,32.1,0.02,1.5,1.48,0
18.8,28.0,0.02,1.5,1.82,0
18.0,34.5,0.01,1.1,1.28,-1
18.8,32.6,0.01,1.4,1.5,0
18.9,37.2,0.02,1.3,1.75,0
17.1,37.2,0.06,1.1,1.91,0
14.6,34.7,0.04,1.4,1.81,-1
14.4,24.0,0.01,1.4,2.04,0
18.2,27.4,0.02,1.3,1.83,0
14.6,26.7,0.01,1.3,1.71,0
16.3,24.8,0.05,1.3,1.56,-1
17.3,21.1,0.12,1.4,1.65,0
17.9,19.1,0.05,1.6,1.79,0
17.0,18.7,0.05,1.5,1.75,0
16.1,21.7,0.03,1.3,2.13,0
15.9,22.4,0.02,1.4,1.16,0
15.9,27.0,0.09,1.3,1.89,-1
16.2,29.0,0.01,1.1,1.88,0
16.2,30.3,0.01,1.3,1.5,-1
16.2,26.6,0.01,1.3,1.59,0
16.4,24.4,0.03,1.3,1.61,-1
16.4,21.8,0.02,1.3,1.83,0
17.4,19.2,0.01,1.3,1.76,0
18.1,18.7,0.01,1.1,1.24,0
17.1,18.8,0.02,1.1,1.61,0
16.7,19.0,0.03,1.3,1.65,0
16.8,19.1,0.1,1.4,1.07,0
17.3,17.2,0.11,1.3,1.29,0
15.6,17.6,0.09,1.4,1.06,-1
16.6,17.6,0.02,1.1,1.52,0
33.6,47.9,0.5,1.1,0.62,2
34.7,32.4,0.5,1.1,0.62,2
34.9,30.3,0.4,1.1,0.62,1
32.1,59.6,0.5,1.1,0.62,1
31.7,63.9,0.5,1.1,0.62,2
18.2,25.7,0.02,1.2,1.54,1
18.2,25.7,0.02,1.1,1.92,0
18.3,25.9,0.04,1.1,1.61,0
18.5,24.8,0.02,1.1,1.68,-1
21.5,22.9,0.09,1.4,1.51,1
21.4,21.8,0.04,1.6,1.52,0
21.4,21.2,0.07,1.7,1.6,0
21.6,22.8,0.05,1.3,1.42,0
21.9,19.7,0.05,1.4,1.16,0
23.1,14.5,0.11,1.3,1.91,0
21.5,15.3,0.07,1.1,1.51,0
20.3,18.2,0.07,1.3,1.68,-2
18.3,26.3,0.04,1.2,1.39,-1
18.2,26.2,0.04,1.2,1.2,-1
18.4,25.3,0.09,1.1,1.28,-1
18.8,25.1,0.04,1.1,1.48,0
18.4,26.7,0.02,1.1,1.41,0
19.8,25.9,0.02,1.1,1.59,0
19.6,26.2,0.02,1.1,1.83,0
19.1,24.8,0.01,1.1,1.47,0
19.4,24.9,0.06,1.1,1.4,0
19.2,24.6,0.02,1.1,1.88,-3
19.3,23.6,0.01,1.1,1.1,-1
19.3,24.8,0.1,1.3,1.79,1
19.5,23.3,0.09,1.1,1.23,0
19.4,25.0,0.06,1.1,1.1,0
19.3,24.6,0.03,1.1,1.44,0
19.3,24.1,0.02,1.4,0.91,0
19.3,24.9,0.03,1.6,1.33,1
19.3,24.5,0.02,1.3,2.06,0
18.8,24.6,0.01,1.1,1.37,-1
18.5,25.6,0.03,1.3,1.44,-2
21.8,19.1,0.19,1.4,1.44,-1
32.3,58.1,0.1,1.1,0.62,0
31.8,64.8,1.0,1.1,0.49,1
33.5,50.6,0.8,1.1,0.49,1
30.0,72.2,0.8,1.1,0.49,1
29.3,75.2,0.8,1.1,0.49,1
30.8,67.6,0.8,1.1,0.49,2
29.2,79.1,0.8,1.1,0.49,1
30.8,65.1,1.0,2.0,0.49,-2
30.9,56.0,1.0,2.0,0.57,0
31.3,65.6,1.0,2.0,0.57,0
27.2,88.2,0.8,2.0,0.49,-2
29.2,69.3,1.0,2.0,0.49,-2
30.8,56.3,1.0,2.0,0.49,-2
31.2,54.3,1.0,2.0,0.49,0
31.8,48.5,1.0,2.0,0.49,0
28.0,52.7,0.8,2.0,0.49,-2
28.1,43.6,0.1,2.0,0.49,-2
25.9,40.5,0.1,2.0,0.57,-2
26.0,41.0,0.1,2.0,0.49,-2
23.3,34.5,0.1,2.0,0.49,-2
22.6,33.8,0.1,2.0,0.49,-2
22.3,39.1,0.1,2.0,0.49,-2
34.9,30.3,0.8,2.0,0.49,2
27.9,84.8,0.5,1.1,0.62,2
29.4,80.5,0.5,1.1,0.62,1
30.3,68.4,0.4,1.1,0.62,0
30.3,68.4,0.5,1.1,0.62,-2
30.5,56.2,0.5,1.1,0.62,0
31.7,68.3,0.5,1.1,0.62,0
26.9,87.1,0.5,1.1,0.62,-2
28.7,72.9,0.5,1.1,0.62,-2
