ta,rh,v,met,clo,thermal_sensation
24.8,43.5,0.08,1.0,1.13,-2
23.8,53.5,0.04,1.1,0.55,-1
25.9,52.0,0.02,1.1,1.0,-1
25.9,54.3,0.02,1.1,0.76,1
24.4,56.4,0.04,1.2,0.8,0
25.7,53.1,0.01,1.1,0.64,1
26.9,53.0,0.05,1.1,1.04,0
26.7,53.8,0.09,1.1,0.44,0
26.5,52.8,0.03,1.3,1.1,-1
26.8,51.1,0.02,1.2,0.49,0
26.7,52.1,0.03,1.3,0.55,0
26.8,45.5,0.02,1.4,0.61,-2
24.2,48.5,0.12,1.1,0.69,0
23.6,49.0,0.11,1.2,0.69,1
26.5,46.6,0.01,1.7,0.61,0
26.1,48.0,0.12,1.4,0.73,1
24.2,49.2,0.09,1.3,0.64,0
24.7,42.2,0.02,1.1,0.55,-1
25.1,47.3,0.06,1.1,0.9,0
24.5,43.1,0.11,1.1,0.49,0
23.8,41.8,0.1,1.1,0.79,0
23.5,48.6,0.05,1.1,0.51,0
24.3,43.9,0.03,1.1,0.68,0
24.5,41.5,0.09,1.1,0.49,-1
24.4,44.7,0.04,1.4,0.49,1
27.3,47.3,0.12,1.1,0.86,0
27.5,47.8,0.03,1.1,1.0,-1
27.3,47.3,0.12,1.2,0.98,-1
25.9,52.2,0.01,1.2,0.47,-1
24.5,50.7,0.22,1.1,0.54,0
22.9,52.4,0.33,1.3,0.93,-2
23.5,47.4,0.21,1.6,0.49,0
23.9,48.7,0.07,1.4,0.58,0
23.2,51.7,0.07,1.3,1.3,0
25.3,47.6,0.04,1.1,0.58,-1
25.2,45.9,0.05,1.0,0.71,0
25.3,47.6,0.04,1.3,0.71,1
24.0,45.7,0.02,1.3,0.61,-1
25.2,45.9,0.05,1.1,0.96,0
25.5,46.3,0.03,1.2,1.06,1
25.0,43.6,0.02,1.3,0.53,1
23.0,53.8,0.16,1.1,0.71,0
24.5,47.2,0.11,1.2,0.54,-1
25.4,43.5,0.08,1.2,0.6,0
23.6,42.4,0.09,1.1,0.53,0
25.8,52.5,0.02,1.1,0.55,0
26.7,52.1,0.14,1.1,0.63,-1
26.4,53.4,0.01,1.1,1.17,0
26.4,53.0,0.01,1.1,0.69,1
26.4,52.8,0.01,1.5,0.42,-2
26.4,53.2,0.02,1.1,0.62,-1
26.4,52.9,0.06,1.2,0.52,0
26.8,53.4,0.0,1.2,0.98,0
24.8,46.5,0.02,1.3,0.59,1
26.7,43.9,0.1,1.4,0.6,-1
25.2,40.4,0.02,1.1,0.55,-2
24.9,51.5,0.01,1.4,0.88,2
26.7,53.4,0.02,1.1,0.61,-1
25.9,52.1,0.01,1.3,0.95,1
24.2,42.7,0.13,1.0,0.43,-2
24.2,45.0,0.05,1.3,0.91,-1
24.2,45.3,0.11,1.2,1.17,-1
24.5,45.4,0.12,1.2,0.71,-1
25.2,45.3,0.03,1.4,0.63,-1
25.2,50.9,0.03,1.2,0.81,1
26.2,51.8,0.04,1.2,0.49,1
26.6,47.0,0.01,1.2,0.64,1
23.8,52.2,0.09,1.1,0.71,0
23.2,50.8,0.05,1.3,0.65,0
24.1,51.5,0.08,1.2,0.49,-1
24.6,44.6,0.01,1.2,0.62,0
24.1,45.2,0.13,1.2,0.64,-2
26.3,52.5,0.01,1.3,0.55,1
25.2,50.6,0.01,1.2,1.0,0
24.7,46.4,0.08,1.1,0.42,-1
24.4,47.3,0.04,1.1,0.44,0
24.5,46.7,0.1,1.4,1.26,-2
24.8,52.4,0.1,1.3,0.56,1
26.5,50.7,0.14,1.1,1.04,0
26.1,53.4,0.06,1.1,0.82,1
25.9,54.4,0.01,1.1,0.49,2
25.3,45.3,0.07,1.3,0.47,0
25.8,46.6,0.05,1.1,0.91,-1
26.3,46.8,0.14,1.1,0.47,-2
26.0,46.3,0.19,1.1,1.33,0
26.0,36.8,0.19,1.1,1.03,1
25.1,46.7,0.07,1.1,0.78,-1
26.2,47.9,0.02,1.1,0.69,-1
27.0,47.1,0.08,1.4,0.55,1
27.0,46.8,0.11,1.1,0.99,0
26.9,47.8,0.07,1.2,0.71,0
24.6,41.9,0.1,1.1,0.56,0
24.8,45.0,0.07,1.3,0.84,0
26.7,47.8,0.16,1.0,0.58,0
23.9,46.0,0.05,1.3,0.64,-1
26.7,47.0,0.04,1.1,0.73,0
25.9,51.5,0.07,1.8,0.95,2
26.4,52.7,0.13,1.3,0.49,0
26.4,55.2,0.05,1.1,0.49,0
26.5,54.5,0.1,1.1,0.38,-1
26.5,54.4,0.01,1.1,0.85,0
26.7,55.4,0.02,1.1,0.75,0
24.8,51.1,0.13,1.2,0.71,0
24.8,52.1,0.11,1.1,0.55,0
24.3,44.9,0.06,1.1,0.49,-1
24.3,52.8,0.03,1.1,0.59,-1
26.8,37.8,0.02,1.2,0.46,0
23.5,42.7,0.06,1.1,0.53,0
23.7,42.0,0.16,1.1,0.57,-1
23.1,44.1,0.07,1.1,0.74,0
29.0,59.0,0.31,1.0,0.52,-1
28.9,59.1,0.32,1.6,0.59,0
29.1,59.4,0.23,1.4,0.53,1
29.3,58.7,0.18,1.1,0.52,0
29.2,58.3,0.43,1.1,0.53,0
29.1,58.4,0.5,1.4,0.53,0
29.3,57.5,0.31,1.1,0.52,2
29.4,57.0,0.42,1.1,0.46,2
29.7,57.0,0.22,1.1,0.52,0
30.3,55.4,0.18,1.1,0.59,0
29.3,59.1,0.25,1.3,0.59,-1
29.4,58.3,0.31,1.1,0.42,0
28.5,60.9,0.17,1.1,0.63,1
28.5,61.0,0.54,1.4,0.63,3
28.6,62.1,0.14,1.1,0.46,0
29.3,58.8,0.1,1.3,0.42,1
29.4,56.2,0.79,1.6,0.5,1
29.4,56.2,0.16,1.9,0.63,1
29.5,56.0,0.26,1.4,0.57,0
29.6,56.3,0.31,1.7,0.74,1
28.9,58.0,0.3,1.6,0.42,0
29.7,54.7,0.37,1.1,0.59,2
29.6,55.1,0.59,1.7,0.59,2
29.7,54.3,0.11,1.1,0.59,2
29.9,54.3,0.16,1.4,0.63,2
29.7,57.5,0.04,1.3,0.63,3
28.9,58.4,0.36,1.1,0.59,0
29.0,59.2,0.24,1.1,0.53,1
28.9,59.8,0.29,1.3,0.59,1
28.7,59.8,0.26,1.7,0.63,-1
28.6,60.2,0.15,1.3,0.59,0
28.6,61.6,0.6,1.1,0.63,1
28.8,61.0,0.5,1.1,0.63,1
